Statement ID,claude,gpt,human1,human2,human3
000,,1,2.0,,
001,1,1,2.0,,
002,1,1,1.0,,
003,1,1,1.0,,
004,3,1,1.0,,
005,1,1,1.0,,
006,1,1,1.0,,
007,2,1,1.0,,
008,1,0,1.0,,
009,2,0,2.0,,
010,1,1,1.0,,
011,1,1,1.0,,
012,1,1,1.0,,
013,1,1,1.0,,
014,3,1,1.0,,
015,1,1,1.0,,
016,1,1,1.0,,
017,3,1,3.0,,
018,3,1,1.0,,
019,1,1,1.0,,
020,3,1,1.0,,
021,3,1,1.0,,
022,3,1,1.0,,
023,2,1,1.0,,
024,1,1,2.0,,
025,3,1,2.0,,
026,1,1,1.0,,
027,2,0,2.0,,
028,3,1,3.0,,
029,1,1,1.0,,
030,3,1,3.0,,
031,3,1,3.0,,
032,3,1,1.0,,
033,1,1,1.0,,
034,1,1,1.0,,
035,1,1,1.0,1.0,
036,1,1,1.0,1.0,
037,2,1,1.0,1.0,
038,2,0,1.0,1.0,
039,2,1,1.0,1.0,
040,1,1,1.0,1.0,
041,3,0,1.0,1.0,
042,1,0,1.0,1.0,
043,,0,1.0,1.0,
044,1,0,1.0,1.0,
045,2,1,1.0,1.0,
046,0,1,2.0,3.0,
047,0,1,2.0,2.0,
048,1,1,2.0,2.0,
049,1,1,1.0,1.0,
050,,1,1.0,1.0,
051,3,1,2.0,1.0,
052,1,1,1.0,1.0,
053,1,0,2.0,0.0,
054,1,1,1.0,3.0,
055,,1,1.0,3.0,
056,1,1,1.0,1.0,
057,3,1,3.0,3.0,
058,1,1,3.0,1.0,
059,2,1,2.0,1.0,
060,1,1,2.0,3.0,
061,1,1,3.0,3.0,
062,1,1,1.0,1.0,
063,1,1,1.0,1.0,
064,1,0,1.0,3.0,
065,Classification: 1,0,1.0,1.0,
066,0,0,0.0,1.0,
067,3,1,3.0,1.0,
068,2,0,3.0,3.0,
069,3,1,,1.0,
070,1,1,,3.0,
071,3,1,,3.0,
072,1,1,,3.0,
073,3,1,,3.0,
074,1,1,,3.0,
075,1,1,,3.0,
076,,1,,3.0,
077,1,1,,2.0,
078,2,0,,1.0,
079,1,1,,1.0,
080,3,1,,1.0,
081,1,0,,1.0,
082,3,1,,3.0,
083,3,1,,1.0,
084,3,1,,1.0,
085,1,1,,1.0,
086,2,1,,2.0,
087,,1,,2.0,
088,,1,,2.0,
089,3,2,,3.0,
090,2,1,,2.0,
091,1,1,,1.0,
092,1,1,,1.0,
093,1,1,,1.0,
094,1,1,,1.0,
095,3,1,,1.0,
096,3,1,,1.0,
097,1,1,,1.0,
098,1,1,,2.0,
099,3,0,,3.0,
100,0,0,,3.0,
101,0,1,,3.0,
102,,1,,1.0,
103,2,1,,1.0,
104,0,0,,3.0,
105,1,0,,,
106,,0,,,
107,1,1,,,
108,1,1,,,
109,1,1,,,
110,,1,,,
111,1,1,,,
112,,1,,,
113,1,1,,,
114,2,1,,,
115,1,1,,,
116,1,1,,,
117,1,1,,,
118,1,1,,,
119,1,1,,,
120,1,1,,,
121,1,1,,,
122,3,1,,,
123,3,1,,,
124,1,1,,,
125,0,1,,,
126,1,1,,,
127,,1,,,
128,1,1,,,
129,3,2,,,
130,1,1,,,
131,1,1,,,
132,,0,,,
133,1,1,,,
134,1,1,,,
135,1,1,,,
136,2,1,,,
