Statement ID,gpt,claude,human1,human2,human3
000,5,,4.0,,
001,5,7,4.0,,
002,5,7,6.0,,
003,-1,2,2.0,,
004,5,-1,-1.0,,
005,-1,8,7.0,,
006,-1,8,-1.0,,
007,-1,7,-1.0,,
008,-1,-1,-1.0,,
009,5,8,-1.0,,
010,-1,0,2.0,,
011,5,7,-1.0,,
012,5,5,-1.0,,
013,-1,7,-1.0,,
014,-1,-1,-1.0,,
015,-1,7,-1.0,,
016,-1,7,2.0,,
017,5,7,2.0,,
018,5,-1,-1.0,,
019,5,8,7.0,,
020,-1,10,10.0,,
021,-1,-1,-1.0,,
022,-1,-1,2.0,,
023,-1,0,2.0,,
024,-1,3,3.0,,
025,-1,0,0.0,,
026,-1,10,-1.0,,
027,-1,0,-1.0,,
028,-1,0,2.0,,
029,-1,2,-1.0,,
030,-1,2,2.0,,
031,-1,5,3.0,,
032,5,7,-1.0,,
033,5,8,5.0,,
034,5,8,5.0,,
035,5,8,6.0,7.0,
036,5,8,6.0,7.0,
037,10,10,3.0,-1.0,
038,-1,8,-1.0,-1.0,
039,10,10,-1.0,-1.0,
040,5,7,3.0,6.0,
041,-1,5,-1.0,-1.0,
042,-1,7,2.0,4.0,
043,-1,,2.0,4.0,
044,-1,-1,-1.0,-1.0,
045,-1,7,2.0,4.0,
046,5,5,4.0,5.0,
047,5,7,5.0,5.0,
048,5,5,5.0,5.0,
049,5,5,4.0,4.0,
050,-1,,-1.0,-1.0,
051,-1,-1,-1.0,-1.0,
052,-1,-1,-1.0,-1.0,
053,-1,7,7.0,3.0,
054,5,8,7.0,-1.0,
055,5,,6.0,-1.0,
056,5,7,7.0,-1.0,
057,5,6,5.0,5.0,
058,5,8,6.0,5.0,
059,5,7,4.0,5.0,
060,-1,5,3.0,5.0,
061,0,5,3.0,5.0,
062,-1,-1,2.0,3.0,
063,-1,-1,2.0,3.0,
064,-1,5,2.0,3.0,
065,-1,7,4.0,3.0,
066,-1,-1,2.0,3.0,
067,-1,5,4.0,3.0,
068,-1,8,4.0,3.0,
069,10,8,,5.0,
070,5,8,,5.0,
071,0,6,,5.0,
072,5,5,,5.0,
073,5,5,,5.0,
074,5,9,,5.0,
075,-1,5,,-1.0,
076,10,,,5.0,
077,-1,-1,,3.0,
078,-1,-1,,3.0,
079,5,10,,3.0,
080,10,8,,3.0,
081,-1,7,,3.0,
082,-1,-1,,3.0,
083,5,5,,4.0,
084,5,5,,4.0,
085,5,5,,4.0,
086,-1,7,,3.0,
087,5,,,3.0,
088,5,,,3.0,
089,5,"7

Breakdown explanation:
- Foreign Policy and Government Policy are the clear topics
- Contains meaningful political content (1)
- Verifiable by both fact-checking methods and potential contradiction (3)
- Ideological score leans slightly right of center but not extremely (7)",,3.0,
090,5,7,,3.0,
091,5,5,,5.0,
092,5,7,,4.0,
093,5,7,,4.0,
094,5,5,,5.0,
095,-1,8,,3.0,
096,-1,8,,3.0,
097,5,-1,,3.0,
098,-1,7,,3.0,
099,-1,-1,,2.0,
100,-1,5,,-1.0,
101,-1,7,,2.0,
102,-1,,,3.0,
103,-1,8,,3.0,
104,-1,5,,3.0,
105,-1,5,,,
106,-1,,,,
107,5,6,,,
108,5,5,,,
109,5,6,,,
110,5,,,,
111,-1,7,,,
112,5,,,,
113,-1,8,,,
114,-1,7,,,
115,-1,5,,,
116,-1,0,,,
117,-1,6,,,
118,-1,7,,,
119,-1,7,,,
120,-1,5,,,
121,-1,3,,,
122,-1,5,,,
123,-1,-1,,,
124,-1,5,,,
125,-1,5,,,
126,5,7,,,
127,5,,,,
128,5,7,,,
129,10,-1,,,
130,-1,6,,,
131,-1,7,,,
132,-1,,,,
133,-1,6,,,
134,5,7,,,
135,-1,3,,,
136,5,5,,,
